Date,High,Low,Mid,Last,Bid,Ask,Volume
2018-09-27,0.034806,0.032617,0.03411,0.03413,0.034101,0.034119,33176.52027322
2018-09-26,0.034088,0.0325,0.033333,0.03333,0.033328,0.033338,22109.67014462
2018-09-25,0.034689,0.031924,0.033632,0.033643,0.033623,0.033641,44999.03170428
2018-09-24,0.036799,0.034566,0.0346905,0.0347,0.03469,0.034691,29677.00403353
2018-09-23,0.03684,0.035323,0.0363075,0.03631,0.0363,0.036315,37506.84258206
2018-09-22,0.037649,0.035142,0.035695,0.035701,0.035689,0.035701,29046.22973838
2018-09-21,0.037113,0.033516,0.036734,0.036764,0.03672,0.036748,65714.9917699
2018-09-20,0.03341,0.032399,0.033436,0.03348,0.033432,0.03344,20508.25118467
2018-09-19,0.033816,0.032192,0.032741,0.032729,0.032735,0.032747,39794.27647855
2018-09-18,0.033644,0.03112,0.0332075,0.033209,0.033198,0.033217,42900.05533772
2018-09-17,0.034451,0.03095,0.0313875,0.031394,0.031379,0.031396,55700.67790331
2018-09-16,0.034328,0.032068,0.03382,0.033842,0.033797,0.033843,34507.79562311
2018-09-15,0.034766,0.032165,0.0341115,0.034094,0.034111,0.034112,34500.26794969
2018-09-14,0.034049,0.031501,0.0331755,0.033239,0.033165,0.033186,64043.91928085
2018-09-13,0.0325,0.028674,0.0322995,0.032299,0.032299,0.0323,102820.58882725
2018-09-12,0.029478,0.026901,0.028769,0.028756,0.028756,0.028782,105507.53945228
2018-09-11,0.031462,0.028449,0.029356,0.029371,0.029349,0.029363,40995.5809122
2018-09-10,0.032119,0.029973,0.0310805,0.031082,0.031076,0.031085,42523.25308466
2018-09-09,0.032493,0.030141,0.031168,0.031145,0.031157,0.031179,55246.99933456
2018-09-08,0.034101,0.030952,0.031651,0.031656,0.03164,0.031662,60651.04034534
2018-09-07,0.035871,0.03352,0.0338775,0.03387,0.03387,0.033885,32642.33559475
2018-09-06,0.035865,0.03331,0.0349595,0.03496,0.034959,0.03496,59856.50387878
2018-09-05,0.038914,0.034612,0.0349615,0.034963,0.034961,0.034962,61046.03542308
2018-09-04,0.039949,0.038451,0.0387815,0.038781,0.038781,0.038782,36382.3550421
2018-09-03,0.040533,0.039464,0.0397935,0.039794,0.039793,0.039794,50285.26374499
2018-09-02,0.04141,0.040073,0.0401785,0.040178,0.040178,0.040179,29150.92315029
2018-09-01,0.041696,0.040101,0.0411245,0.041124,0.041124,0.041125,27032.77116695
2018-08-31,0.040899,0.04,0.0401535,0.040162,0.040153,0.040154,15791.06233684
2018-08-30,0.041318,0.039925,0.0408515,0.040836,0.040851,0.040852,30298.39031709
2018-08-29,0.041925,0.040918,0.041169,0.04117,0.041163,0.041175,24099.72546683
2018-08-28,0.041839,0.040791,0.0417215,0.041725,0.041718,0.041725,31262.00400614
2018-08-27,0.041645,0.04072,0.0412555,0.041239,0.041255,0.041256,24417.37171992
2018-08-26,0.041459,0.040637,0.0407875,0.040787,0.040787,0.040788,13308.49792177
2018-08-25,0.042156,0.041347,0.041476,0.041468,0.041468,0.041484,12087.42470726
2018-08-24,0.042448,0.041619,0.0419495,0.041935,0.041939,0.04196,13190.76496468
2018-08-23,0.043276,0.041947,0.042268,0.042283,0.042262,0.042274,19433.10267997
2018-08-22,0.04375,0.041466,0.0421775,0.042178,0.042177,0.042178,33265.72565916
2018-08-21,0.044098,0.042447,0.043326,0.043316,0.04332,0.043332,19862.54676621
2018-08-20,0.046581,0.042664,0.0432665,0.043265,0.043266,0.043267,25147.3057201
2018-08-19,0.047423,0.045533,0.0462035,0.046177,0.046203,0.046204,25138.83297441
2018-08-18,0.048611,0.044818,0.0461555,0.046155,0.046155,0.046156,18446.78959592
2018-08-17,0.048488,0.045297,0.0480555,0.048074,0.048041,0.04807,35424.03765486
2018-08-16,0.046328,0.04436,0.045696,0.045689,0.045689,0.045703,24247.4570931
2018-08-14,0.045447,0.041931,0.0434755,0.043475,0.043475,0.043476,78349.80868606
2018-08-13,0.050496,0.04521,0.0453345,0.045373,0.04532,0.045349,47035.59527534
2018-08-11,0.05416,0.049479,0.0509295,0.050929,0.050929,0.05093,35192.15607194
2018-08-10,0.056494,0.053634,0.053843,0.053875,0.05383,0.053856,28441.23888627
2018-08-09,0.057261,0.055369,0.055947,0.055934,0.055936,0.055958,14308.28412987
2018-08-08,0.057535,0.055447,0.056219,0.056197,0.056199,0.056239,24485.41099577
2018-08-07,0.058603,0.055059,0.0563735,0.05639,0.056357,0.05639,31093.02453787
2018-08-06,0.058592,0.057655,0.0585205,0.058533,0.058509,0.058532,9969.9973248
2018-08-05,0.058586,0.057726,0.0583775,0.058361,0.058371,0.058384,11593.04400035
2018-08-04,0.058599,0.055797,0.057953,0.057922,0.057945,0.057961,14519.5455922
2018-08-03,0.056449,0.054372,0.05618,0.056191,0.056169,0.056191,25113.33393383
2018-08-02,0.055587,0.054189,0.0545075,0.054501,0.054502,0.054513,15238.76107261
2018-08-01,0.056392,0.054488,0.0552575,0.055257,0.055257,0.055258,28504.47264692
2018-07-31,0.056181,0.054325,0.0559585,0.055958,0.055958,0.055959,22643.14106964
2018-07-30,0.057041,0.0555,0.055672,0.055693,0.055656,0.055688,15540.58180534
2018-07-29,0.0572,0.05655,0.056739,0.056753,0.056727,0.056751,7600.28818944
2018-07-28,0.05748,0.056709,0.0570685,0.05705,0.05705,0.057087,9827.16732385
2018-07-27,0.058974,0.056712,0.0571405,0.05714,0.05714,0.057141,25582.39855307
2018-07-26,0.058727,0.057441,0.0584045,0.058398,0.05839,0.058419,16694.31286844
2018-07-25,0.05832,0.056597,0.0576385,0.057638,0.057638,0.057639,22512.12440883
2018-07-24,0.05947,0.05651,0.057468,0.057454,0.057453,0.057483,50514.86042829
2018-07-23,0.061942,0.058,0.0582495,0.058249,0.058249,0.05825,29840.22293936
2018-07-22,0.062835,0.061454,0.0617625,0.06173,0.06175,0.061775,7506.61525133
2018-07-21,0.063393,0.06095,0.0625495,0.062542,0.062549,0.06255,12155.89831753
2018-07-20,0.062919,0.0603,0.061043,0.061013,0.061024,0.061062,25452.73902394
2018-07-19,0.065269,0.0625,0.0628955,0.062896,0.062895,0.062896,31319.76018754
2018-07-18,0.06862,0.064504,0.065268,0.065257,0.065256,0.06528,37438.28465165
2018-07-17,0.071395,0.068,0.068429,0.068424,0.068412,0.068446,33754.7756537
2018-07-16,0.07189,0.070141,0.0713795,0.07138,0.071364,0.071395,19396.31700394
2018-07-15,0.07129,0.06914,0.0706485,0.07065,0.070632,0.070665,11296.60756767
2018-07-14,0.070129,0.0692,0.0692005,0.0692,0.0692,0.069201,4667.32389565
2018-07-13,0.070395,0.068546,0.0694165,0.069429,0.069372,0.069461,7471.26832032
2018-07-12,0.070229,0.068741,0.0691115,0.069112,0.069097,0.069126,7062.06032464
2018-07-11,0.069846,0.06757,0.0690905,0.069091,0.06909,0.069091,8379.4890245
2018-07-10,0.071328,0.0675,0.0688175,0.068825,0.068811,0.068824,22648.87445458
2018-07-09,0.073047,0.070863,0.0711915,0.071179,0.071179,0.071204,11578.72808065
2018-07-08,0.073137,0.070036,0.0726595,0.07266,0.072659,0.07266,7882.60085823
2018-07-07,0.071457,0.070733,0.0711315,0.07113,0.071131,0.071132,5018.44643973
2018-07-06,0.071792,0.069938,0.070943,0.070944,0.070942,0.070944,14294.74737383
2018-07-05,0.071797,0.07056,0.0714535,0.07147,0.071447,0.07146,22642.30026643
2018-07-04,0.071999,0.070272,0.070887,0.070886,0.070886,0.070888,16406.15281933
2018-07-03,0.072853,0.070608,0.0713835,0.071399,0.071383,0.071384,30795.10006831
2018-07-02,0.07249,0.070527,0.0721005,0.0721,0.072097,0.072104,21856.55838141
2018-07-01,0.0715,0.070492,0.0710795,0.071099,0.071079,0.07108,6098.63723093
2018-06-30,0.071752,0.069492,0.070348,0.07034,0.07034,0.070356,15709.79977112
2018-06-29,0.072048,0.068402,0.069202,0.06918,0.069188,0.069216,27534.32538142
2018-06-28,0.07221,0.07071,0.0716995,0.0717,0.071699,0.0717,15688.86395308
2018-06-27,0.072068,0.069845,0.0711785,0.071178,0.071178,0.071179,18593.33507819
