Date,Open,High,Low,Volume
2018-09-20,178.9,187.37,176.21,15469.75816545
2018-09-18,167.79,184.19,166.68,21532.47673754
2018-09-15,185.61,198.47,179.98,14915.66904085
2018-09-11,168.37,172.63,151.5,25414.45725665
2018-09-09,170.01,181.0,161.73,19976.15968396
2018-09-08,188.68,191.28,166.0,18950.95259583
2018-09-06,207.56,209.16,182.21,32557.74863248
2018-09-05,247.11,248.29,204.51,32336.90963681
2018-09-04,249.45,253.0,244.57,10976.70134322
2018-09-03,252.85,255.87,246.3,10350.24024076
2018-09-02,253.86,257.66,250.01,5790.69290718
2018-08-29,253.58,255.0,243.5,12116.17639182
2018-08-28,239.0,254.49,238.99,15264.86843492
2018-08-27,235.17,240.9,234.12,7644.21076499
2018-08-26,240.08,240.9,233.0,4003.74118548
2018-08-23,232.8,243.68,232.01,9874.38444766
2018-08-22,243.25,258.88,225.2,14455.74615176
2018-08-20,264.23,265.94,234.91,12052.5198279
2018-08-19,259.7,269.31,255.1,5203.6430936
2018-08-18,276.71,280.98,247.99,11025.23092685
2018-08-17,252.11,279.87,250.99,17724.02024662
2018-08-16,254.4,264.22,244.14,14243.04697072
2018-08-14,248.7,251.38,219.13,45453.39715131
2018-08-13,281.28,283.41,247.0,21352.50902717
2018-08-08,328.64,328.64,302.39,17940.52473403
2018-08-06,355.0,357.1,347.2,5872.72897382
2018-08-05,351.77,357.71,347.48,3535.04245284
2018-08-04,361.56,363.38,346.06,6972.48750854
2018-08-03,355.88,362.97,343.45,7467.15842034
2018-08-02,360.49,363.98,351.33,7231.37370903
2018-08-01,369.51,372.0,351.0,11995.67934933
2018-07-31,389.79,391.0,366.23,11100.61400298
2018-07-30,399.5,402.92,380.27,6994.53455705
2018-07-29,401.13,403.78,397.44,2590.47696439
2018-07-28,404.65,405.98,397.8,2343.57233356
2018-07-27,397.95,407.05,392.4,6526.23616612
2018-07-25,408.57,415.97,397.15,8570.29445643
2018-07-24,386.01,414.14,383.35,11494.34741932
2018-07-23,391.71,401.9,383.1,7621.43320613
2018-07-21,384.47,408.3,376.76,6288.17865033
2018-07-20,402.9,404.05,377.0,9609.25904507
2018-07-19,412.2,417.74,395.9,8630.34983961
2018-07-18,428.39,439.99,402.01,14130.73538191
2018-07-17,405.56,438.37,397.13,16629.54480003
2018-07-16,384.7,409.66,381.35,9816.50410807
2018-07-15,372.6,388.89,370.58,3741.58551682
2018-07-14,370.36,377.5,368.8,2981.73194587
2018-07-13,365.69,380.0,360.0,6572.11394943
2018-07-11,374.31,382.81,363.6,6278.99776633
2018-07-10,408.21,408.21,365.12,11740.33455092
2018-07-09,416.84,416.85,404.06,4862.76773475
2018-07-07,398.79,402.0,395.1,1991.38070402
2018-07-06,399.82,404.0,387.12,4913.16943968
2018-07-05,399.44,410.0,393.4,4539.600187
2018-07-04,396.38,414.85,386.7,5988.00803231
2018-07-03,411.44,418.9,395.03,7122.74040288
2018-07-02,387.99,414.87,381.89,7899.45865014
